place_of_birth,topic,topic_disaggregation,year,count,year_total,percent_total
Other,State and territory of birth,SA,2014,96,20448,0.5
Other,State and territory of birth,Tas,2014,38,5818,0.7
Other,State and territory of birth,ACT,2014,42,6325,0.7
Other,State and territory of birth,NT,2014,51,3924,1.3
Not stated,State and territory of birth,Qld,2014,0,62799,0
Not stated,State and territory of birth,WA,2014,0,34686,0
Not stated,State and territory of birth,SA,2014,0,20448,0
Not stated,State and territory of birth,Tas,2014,0,5818,0
Not stated,State and territory of birth,ACT,2014,0,6325,0
Not stated,State and territory of birth,NT,2014,0,3924,0
Hospital,Country of birth (mother),Born in Australia,2015,197177,202532,97.4
Hospital,Country of birth (mother),Born overseas,2015,98150,100189,98
Hospital,Country of birth (mother),Not stated,2015,1275,1547,82.4
Birth centre,Country of birth (mother),Born in Australia,2015,3902,202532,1.9
Birth centre,Country of birth (mother),Born overseas,2015,1570,100189,1.6
Birth centre,Country of birth (mother),Not stated,2015,19,1547,1.2
Home,Country of birth (mother),Born in Australia,2015,561,202532,0.3
Home,Country of birth (mother),Born overseas,2015,127,100189,0.1
Home,Country of birth (mother),Not stated,2015,222,1547,14.4
Other,Country of birth (mother),Born in Australia,2015,892,202532,0.4
Other,Country of birth (mother),Born overseas,2015,342,100189,0.3
Other,Country of birth (mother),Not stated,2015,31,1547,2
Not stated,Country of birth (mother),Born in Australia,2015,0,202532,0
Not stated,Country of birth (mother),Born overseas,2015,0,100189,0
Not stated,Country of birth (mother),Not stated,2015,0,1547,0
Hospital,Indigenous status (mother),Indigenous,2015,12738,13017,97.9
Hospital,Indigenous status (mother),Non-Indigenous,2015,283519,290888,97.5
Hospital,Indigenous status (mother),Not stated,2015,345,363,95
Birth centre,Indigenous status (mother),Indigenous,2015,135,13017,1
Birth centre,Indigenous status (mother),Non-Indigenous,2015,5356,290888,1.8
Birth centre,Indigenous status (mother),Not stated,2015,0,363,0
Home,Indigenous status (mother),Indigenous,2015,5,13017,0
Home,Indigenous status (mother),Non-Indigenous,2015,892,290888,0.3
Home,Indigenous status (mother),Not stated,2015,13,363,3.6
Other,Indigenous status (mother),Indigenous,2015,139,13017,1.1
Other,Indigenous status (mother),Non-Indigenous,2015,1121,290888,0.4
Other,Indigenous status (mother),Not stated,2015,5,363,1.4
Not stated,Indigenous status (mother),Indigenous,2015,0,13017,0
Not stated,Indigenous status (mother),Non-Indigenous,2015,0,290888,0
Not stated,Indigenous status (mother),Not stated,2015,0,363,0
Hospital,Maternal age,Less than 20,2015,8017,8203,97.7
Hospital,Maternal age,20-24,2015,37550,38462,97.6
Hospital,Maternal age,25-29,2015,80677,82873,97.4
Hospital,Maternal age,30-34,2015,103917,106740,97.4
Hospital,Maternal age,35-39,2015,53731,55066,97.6
Hospital,Maternal age,40 and over,2015,12702,12903,98.4
Hospital,Maternal age,Not stated,2015,8,21,0.4
Birth centre,Maternal age,Less than 20,2015,132,8203,1.6
Birth centre,Maternal age,20-24,2015,679,38462,1.8
Birth centre,Maternal age,25-29,2015,1616,82873,1.9
Birth centre,Maternal age,30-34,2015,2032,106740,1.9
Birth centre,Maternal age,35-39,2015,917,55066,1.7
Birth centre,Maternal age,40 and over,2015,115,12903,0.9
Birth centre,Maternal age,Not stated,2015,0,21,0
Home,Maternal age,20-24,2015,49,38462,0.1
Home,Maternal age,25-29,2015,226,82873,0.3
Home,Maternal age,30-34,2015,355,106740,0.3
Home,Maternal age,35-39,2015,219,55066,0.4
Home,Maternal age,Not stated,2015,13,21,0.6
Other,Maternal age,20-24,2015,184,38462,0.5
Other,Maternal age,25-29,2015,354,82873,0.4
Other,Maternal age,30-34,2015,436,106740,0.4
Other,Maternal age,35-39,2015,199,55066,0.4
Other,Maternal age,Not stated,2015,0,21,0
Not stated,Maternal age,Less than 20,2015,0,8203,0
Not stated,Maternal age,20-24,2015,0,38462,0
Not stated,Maternal age,25-29,2015,0,82873,0
Not stated,Maternal age,30-34,2015,0,106740,0
Not stated,Maternal age,35-39,2015,0,55066,0
Not stated,Maternal age,40 and over,2015,0,12903,0
Not stated,Maternal age,Not stated,2015,0,21,0
Hospital,Parity,None,2015,128161,130537,98.2
Hospital,Parity,One,2015,103034,106248,97
Hospital,Parity,Two,2015,41179,42435,97
Hospital,Parity,Three,2015,14202,14689,96.7
Hospital,Parity,Four or more,2015,9966,10294,96.8
Hospital,Parity,Not stated,2015,60,65,0.9
Birth centre,Parity,None,2015,1968,130537,1.5
Birth centre,Parity,One,2015,2294,106248,2.2
Birth centre,Parity,Two,2015,827,42435,1.9
Birth centre,Parity,Three,2015,265,14689,1.8
Birth centre,Parity,Four or more,2015,137,10294,1.3
Birth centre,Parity,Not stated,2015,0,65,0
Home,Parity,None,2015,234,130537,0.2
Home,Parity,One,2015,371,106248,0.3
Home,Parity,Two,2015,178,42435,0.4
Home,Parity,Three,2015,77,14689,0.5
Home,Parity,Four or more,2015,45,10294,0.4
Home,Parity,Not stated,2015,5,65,0.1
Other,Parity,None,2015,174,130537,0.1
Other,Parity,One,2015,549,106248,0.5
Other,Parity,Two,2015,251,42435,0.6
Other,Parity,Three,2015,145,14689,1
Other,Parity,Four or more,2015,146,10294,1.4
Other,Parity,Not stated,2015,0,65,0
Not stated,Parity,None,2015,0,130537,0
Not stated,Parity,One,2015,0,106248,0
Not stated,Parity,Two,2015,0,42435,0
Not stated,Parity,Three,2015,0,14689,0
Not stated,Parity,Four or more,2015,0,10294,0
Not stated,Parity,Not stated,2015,0,65,0
Hospital,Remoteness area,Major cities,2015,213322,219258,97.3
Hospital,Remoteness area,Inner regional,2015,48476,49453,98
Hospital,Remoteness area,Outer regional,2015,24864,25440,97.7
Hospital,Remoteness area,Remote,2015,4392,4453,98.6
Hospital,Remoteness area,Very remote,2015,2874,2924,98.3
Birth centre,Remoteness area,Major cities,2015,4549,219258,2.1
Birth centre,Remoteness area,Inner regional,2015,538,49453,1.1
Birth centre,Remoteness area,Outer regional,2015,359,25440,1.4
Birth centre,Remoteness area,Remote,2015,16,4453,0.4
Birth centre,Remoteness area,Very remote,2015,10,2924,0.3
Home,Remoteness area,Major cities,2015,622,219258,0.3
Home,Remoteness area,Inner regional,2015,189,49453,0.4
Home,Remoteness area,Outer regional,2015,56,25440,0.2
Other,Remoteness area,Major cities,2015,765,219258,0.3
Other,Remoteness area,Inner regional,2015,251,49453,0.5
Other,Remoteness area,Outer regional,2015,160,25440,0.6
Not stated,Remoteness area,Major cities,2015,0,219258,0
Not stated,Remoteness area,Inner regional,2015,0,49453,0
Not stated,Remoteness area,Outer regional,2015,0,25440,0
Not stated,Remoteness area,Remote,2015,0,4453,0
Not stated,Remoteness area,Very remote,2015,0,2924,0
Hospital,Socioeconomic status,Q1 (most disadvantaged),2015,61014,62276,98
Hospital,Socioeconomic status,Q2,2015,58439,59918,97.5
Hospital,Socioeconomic status,Q3,2015,58806,60463,97.3
Hospital,Socioeconomic status,Q4,2015,60722,62323,97.4
Hospital,Socioeconomic status,Q5 (least disadvantaged),2015,54698,56284,97.2
Hospital,Socioeconomic status,Not stated,2015,2129,2199,96.8
Birth centre,Socioeconomic status,Q1 (most disadvantaged),2015,825,62276,1.3
Birth centre,Socioeconomic status,Q2,2015,1071,59918,1.8
Birth centre,Socioeconomic status,Q3,2015,1166,60463,1.9
Birth centre,Socioeconomic status,Q4,2015,1151,62323,1.8
Birth centre,Socioeconomic status,Q5 (least disadvantaged),2015,1245,56284,2.2
Birth centre,Socioeconomic status,Not stated,2015,25,2199,1.1
Home,Socioeconomic status,Q1 (most disadvantaged),2015,114,62276,0.2
Home,Socioeconomic status,Q2,2015,144,59918,0.2
Home,Socioeconomic status,Q3,2015,243,60463,0.4
Home,Socioeconomic status,Q4,2015,215,62323,0.3
Home,Socioeconomic status,Q5 (least disadvantaged),2015,170,56284,0.3
Home,Socioeconomic status,Not stated,2015,24,2199,1.1
Other,Socioeconomic status,Q1 (most disadvantaged),2015,323,62276,0.5
Other,Socioeconomic status,Q2,2015,264,59918,0.4
Other,Socioeconomic status,Q3,2015,248,60463,0.4
Other,Socioeconomic status,Q4,2015,235,62323,0.4
Other,Socioeconomic status,Q5 (least disadvantaged),2015,171,56284,0.3
Other,Socioeconomic status,Not stated,2015,21,2199,1
Not stated,Socioeconomic status,Q1 (most disadvantaged),2015,0,62276,0
Not stated,Socioeconomic status,Q2,2015,0,59918,0
Not stated,Socioeconomic status,Q3,2015,0,60463,0
Not stated,Socioeconomic status,Q4,2015,0,62323,0
Not stated,Socioeconomic status,Q5 (least disadvantaged),2015,0,56284,0
Not stated,Socioeconomic status,Not stated,2015,0,2199,0
Hospital,State and territory of birth,NSW,2015,92813,94988,97.7
Hospital,State and territory of birth,Vic,2015,77380,78134,99
Hospital,State and territory of birth,Qld,2015,59123,60929,97
Hospital,State and territory of birth,WA,2015,33716,34484,97.8
Hospital,State and territory of birth,SA,2015,18490,19818,93.3
Hospital,State and territory of birth,Tas,2015,5526,5610,98.5
Hospital,State and territory of birth,ACT,2015,5775,6346,91
Hospital,State and territory of birth,NT,2015,3779,3959,95.5
Birth centre,State and territory of birth,NSW,2015,2095,94988,2.2
Birth centre,State and territory of birth,Vic,2015,0,78134,0
Birth centre,State and territory of birth,Qld,2015,1228,60929,2
Birth centre,State and territory of birth,WA,2015,400,34484,1.2
Birth centre,State and territory of birth,SA,2015,1144,19818,5.8
Birth centre,State and territory of birth,NT,2015,97,3959,2.5
Home,State and territory of birth,NSW,2015,80,94988,0.1
Home,State and territory of birth,Vic,2015,358,78134,0.5
Home,State and territory of birth,Qld,2015,115,60929,0.2
Home,State and territory of birth,WA,2015,195,34484,0.6
Home,State and territory of birth,SA,2015,95,19818,0.5
Home,State and territory of birth,NT,2015,22,3959,0.6
Other,State and territory of birth,NSW,2015,0,94988,0
Other,State and territory of birth,Vic,2015,396,78134,0.5
Other,State and territory of birth,Qld,2015,463,60929,0.8
Other,State and territory of birth,WA,2015,173,34484,0.5
Other,State and territory of birth,SA,2015,89,19818,0.4
Other,State and territory of birth,Tas,2015,38,5610,0.7
Other,State and territory of birth,ACT,2015,45,6346,0.7
Other,State and territory of birth,NT,2015,61,3959,1.5
Not stated,State and territory of birth,NSW,2015,0,94988,0
Not stated,State and territory of birth,Vic,2015,0,78134,0
Not stated,State and territory of birth,Qld,2015,0,60929,0
Not stated,State and territory of birth,WA,2015,0,34484,0
Not stated,State and territory of birth,SA,2015,0,19818,0
Not stated,State and territory of birth,Tas,2015,0,5610,0
Not stated,State and territory of birth,ACT,2015,0,6346,0
Not stated,State and territory of birth,NT,2015,0,3959,0
Hospital,Country of birth (mother),Born in Australia,2016,196544,201984,97.3
Hospital,Country of birth (mother),Born overseas,2016,104531,106572,98.1
Hospital,Country of birth (mother),Not stated,2016,1388,1691,82.1
Birth centre,Country of birth (mother),Born in Australia,2016,4031,201984,2
Birth centre,Country of birth (mother),Born overseas,2016,1566,106572,1.5
Birth centre,Country of birth (mother),Not stated,2016,43,1691,2.5
Home,Country of birth (mother),Born in Australia,2016,511,201984,0.3
Home,Country of birth (mother),Born overseas,2016,172,106572,0.2
Home,Country of birth (mother),Not stated,2016,222,1691,13.1
Other,Country of birth (mother),Born in Australia,2016,896,201984,0.4
Other,Country of birth (mother),Born overseas,2016,303,106572,0.3
Other,Country of birth (mother),Not stated,2016,38,1691,2.2
Not stated,Country of birth (mother),Born in Australia,2016,2,201984,0
Not stated,Country of birth (mother),Born overseas,2016,0,106572,0
Not stated,Country of birth (mother),Not stated,2016,0,1691,0
Hospital,Indigenous status (mother),Indigenous,2016,13291,13608,97.7
Hospital,Indigenous status (mother),Non-Indigenous,2016,288215,295629,97.5
Hospital,Indigenous status (mother),Not stated,2016,957,1010,94.8
Birth centre,Indigenous status (mother),Indigenous,2016,174,13608,1.3
Birth centre,Indigenous status (mother),Non-Indigenous,2016,5462,295629,1.8
Birth centre,Indigenous status (mother),Not stated,2016,4,1010,0.4
Home,Indigenous status (mother),Indigenous,2016,8,13608,0.1
Home,Indigenous status (mother),Non-Indigenous,2016,854,295629,0.3
Home,Indigenous status (mother),Not stated,2016,43,1010,4.3
Other,Indigenous status (mother),Indigenous,2016,135,13608,1
Other,Indigenous status (mother),Non-Indigenous,2016,1096,295629,0.4
Other,Indigenous status (mother),Not stated,2016,6,1010,0.6
Not stated,Indigenous status (mother),Indigenous,2016,0,13608,0
Not stated,Indigenous status (mother),Non-Indigenous,2016,2,295629,0
Not stated,Indigenous status (mother),Not stated,2016,0,1010,0
Hospital,Maternal age,Less than 20,2016,7243,7395,97.9
Hospital,Maternal age,20-24,2016,36473,37421,97.5
Hospital,Maternal age,25-29,2016,81488,83667,97.4
Hospital,Maternal age,30-34,2016,108027,110946,97.4
Hospital,Maternal age,35-39,2016,56150,57511,97.6
Hospital,Maternal age,40 and over,2016,13050,13265,98.4
Hospital,Maternal age,Not stated,2016,32,42,0.8
Birth centre,Maternal age,Less than 20,2016,116,7395,1.6
Birth centre,Maternal age,20-24,2016,717,37421,1.9
Birth centre,Maternal age,25-29,2016,1619,83667,1.9
Birth centre,Maternal age,30-34,2016,2139,110946,1.9
Birth centre,Maternal age,35-39,2016,927,57511,1.6
Birth centre,Maternal age,40 and over,2016,122,13265,0.9
Birth centre,Maternal age,Not stated,2016,0,42,0
Home,Maternal age,20-24,2016,42,37421,0.1
Home,Maternal age,25-29,2016,241,83667,0.3
Home,Maternal age,30-34,2016,337,110946,0.3
Home,Maternal age,35-39,2016,225,57511,0.4
Home,Maternal age,Not stated,2016,10,42,0.2
Other,Maternal age,20-24,2016,189,37421,0.5
Other,Maternal age,25-29,2016,318,83667,0.4
Other,Maternal age,30-34,2016,442,110946,0.4
Other,Maternal age,35-39,2016,209,57511,0.4
Other,Maternal age,Not stated,2016,0,42,0
Not stated,Maternal age,Less than 20,2016,0,7395,0
Not stated,Maternal age,20-24,2016,0,37421,0
Not stated,Maternal age,25-29,2016,1,83667,0
Not stated,Maternal age,30-34,2016,1,110946,0
Not stated,Maternal age,35-39,2016,0,57511,0
Not stated,Maternal age,40 and over,2016,0,13265,0
Not stated,Maternal age,Not stated,2016,0,42,0
Hospital,Parity,None,2016,130464,132842,98.2
Hospital,Parity,One,2016,105437,108637,97.1
Hospital,Parity,Two,2016,41285,42648,96.8
Hospital,Parity,Three,2016,14564,15034,96.9
Hospital,Parity,Four or more,2016,9988,10352,96.5
Hospital,Parity,Not stated,2016,725,734,98.8
Birth centre,Parity,None,2016,2009,132842,1.5
Birth centre,Parity,One,2016,2314,108637,2.1
Birth centre,Parity,Two,2016,917,42648,2.2
Birth centre,Parity,Three,2016,246,15034,1.6
Birth centre,Parity,Four or more,2016,151,10352,1.5
Birth centre,Parity,Not stated,2016,3,734,0.4
Home,Parity,None,2016,232,132842,0.2
Home,Parity,One,2016,357,108637,0.3
Home,Parity,Two,2016,199,42648,0.5
Home,Parity,Three,2016,77,15034,0.5
Home,Parity,Four or more,2016,38,10352,0.4
Home,Parity,Not stated,2016,2,734,0.3
Other,Parity,None,2016,137,132842,0.1
Other,Parity,One,2016,529,108637,0.5
Other,Parity,Two,2016,246,42648,0.6
Other,Parity,Three,2016,147,15034,1
Other,Parity,Four or more,2016,175,10352,1.7
Other,Parity,Not stated,2016,3,734,0.4
Not stated,Parity,None,2016,0,132842,0
Not stated,Parity,One,2016,0,108637,0
Not stated,Parity,Two,2016,1,42648,0
Not stated,Parity,Three,2016,0,15034,0
Not stated,Parity,Four or more,2016,0,10352,0
Not stated,Parity,Not stated,2016,1,734,0.1
Hospital,Remoteness area,Major cities,2016,219840,225763,97.4
Hospital,Remoteness area,Inner regional,2016,48799,49790,98
Hospital,Remoteness area,Outer regional,2016,24695,25322,97.5
Hospital,Remoteness area,Remote,2016,4443,4507,98.6
Hospital,Remoteness area,Very remote,2016,2803,2854,98.2
Birth centre,Remoteness area,Major cities,2016,4558,225763,2
Birth centre,Remoteness area,Inner regional,2016,570,49790,1.1
Birth centre,Remoteness area,Outer regional,2016,417,25322,1.6
Birth centre,Remoteness area,Remote,2016,15,4507,0.3
Birth centre,Remoteness area,Very remote,2016,11,2854,0.4
Home,Remoteness area,Major cities,2016,594,225763,0.3
Home,Remoteness area,Inner regional,2016,185,49790,0.4
Home,Remoteness area,Outer regional,2016,55,25322,0.2
Other,Remoteness area,Major cities,2016,772,225763,0.3
Other,Remoteness area,Inner regional,2016,235,49790,0.5
Other,Remoteness area,Outer regional,2016,154,25322,0.6
Not stated,Remoteness area,Major cities,2016,0,225763,0
Not stated,Remoteness area,Inner regional,2016,1,49790,0
Not stated,Remoteness area,Outer regional,2016,1,25322,0
Not stated,Remoteness area,Remote,2016,0,4507,0
Not stated,Remoteness area,Very remote,2016,0,2854,0
Hospital,Socioeconomic status,Q1 (most disadvantaged),2016,60714,61888,98.1
Hospital,Socioeconomic status,Q2,2016,59059,60588,97.5
Hospital,Socioeconomic status,Q3,2016,61578,63226,97.4
Hospital,Socioeconomic status,Q4,2016,63002,64715,97.4
Hospital,Socioeconomic status,Q5 (least disadvantaged),2016,56059,57648,97.2
Hospital,Socioeconomic status,Not stated,2016,1018,1102,92.4
Birth centre,Socioeconomic status,Q1 (most disadvantaged),2016,761,61888,1.2
Birth centre,Socioeconomic status,Q2,2016,1153,60588,1.9
Birth centre,Socioeconomic status,Q3,2016,1166,63226,1.8
Birth centre,Socioeconomic status,Q4,2016,1246,64715,1.9
Birth centre,Socioeconomic status,Q5 (least disadvantaged),2016,1244,57648,2.2
Birth centre,Socioeconomic status,Not stated,2016,52,1102,4.7
Home,Socioeconomic status,Q1 (most disadvantaged),2016,94,61888,0.2
Home,Socioeconomic status,Q2,2016,135,60588,0.2
Home,Socioeconomic status,Q3,2016,214,63226,0.3
Home,Socioeconomic status,Q4,2016,223,64715,0.3
Home,Socioeconomic status,Q5 (least disadvantaged),2016,182,57648,0.3
Home,Socioeconomic status,Not stated,2016,28,1102,2.5
Other,Socioeconomic status,Q1 (most disadvantaged),2016,318,61888,0.5
Other,Socioeconomic status,Q2,2016,241,60588,0.4
Other,Socioeconomic status,Q3,2016,267,63226,0.4
Other,Socioeconomic status,Q4,2016,244,64715,0.4
Other,Socioeconomic status,Q5 (least disadvantaged),2016,163,57648,0.3
Other,Socioeconomic status,Not stated,2016,4,1102,0.4
Not stated,Socioeconomic status,Q1 (most disadvantaged),2016,1,61888,0
Not stated,Socioeconomic status,Q2,2016,0,60588,0
Not stated,Socioeconomic status,Q3,2016,1,63226,0
Not stated,Socioeconomic status,Q4,2016,0,64715,0
Not stated,Socioeconomic status,Q5 (least disadvantaged),2016,0,57648,0
Not stated,Socioeconomic status,Not stated,2016,0,1102,0
Hospital,State and territory of birth,NSW,2016,95109,97290,97.8
Hospital,State and territory of birth,Vic,2016,79014,79710,99.1
Hospital,State and territory of birth,Qld,2016,59868,61858,96.8
Hospital,State and territory of birth,WA,2016,34603,35396,97.8
Hospital,State and territory of birth,SA,2016,18430,19758,93.3
Hospital,State and territory of birth,Tas,2016,5750,5818,98.8
Hospital,State and territory of birth,ACT,2016,5913,6457,91.6
Hospital,State and territory of birth,NT,2016,3776,3960,95.4
Birth centre,State and territory of birth,NSW,2016,2099,97290,2.2
Birth centre,State and territory of birth,Vic,2016,0,79710,0
Birth centre,State and territory of birth,Qld,2016,1324,61858,2.1
Birth centre,State and territory of birth,WA,2016,467,35396,1.3
Birth centre,State and territory of birth,SA,2016,1135,19758,5.7
Birth centre,State and territory of birth,Tas,2016,0,5818,0
Birth centre,State and territory of birth,ACT,2016,503,6457,7.8
Birth centre,State and territory of birth,NT,2016,112,3960,2.8
Home,State and territory of birth,NSW,2016,82,97290,0.1
Home,State and territory of birth,Vic,2016,336,79710,0.4
Home,State and territory of birth,Qld,2016,164,61858,0.3
Home,State and territory of birth,WA,2016,169,35396,0.5
Home,State and territory of birth,SA,2016,89,19758,0.5
Home,State and territory of birth,NT,2016,22,3960,0.6
Other,State and territory of birth,NSW,2016,0,97290,0
Other,State and territory of birth,Vic,2016,358,79710,0.4
Other,State and territory of birth,Qld,2016,502,61858,0.8
Other,State and territory of birth,WA,2016,157,35396,0.4
Other,State and territory of birth,SA,2016,104,19758,0.5
Other,State and territory of birth,NT,2016,50,3960,1.3
Not stated,State and territory of birth,NSW,2016,0,97290,0
Not stated,State and territory of birth,Vic,2016,2,79710,0
Not stated,State and territory of birth,Qld,2016,0,61858,0
Not stated,State and territory of birth,WA,2016,0,35396,0
Not stated,State and territory of birth,SA,2016,0,19758,0
Not stated,State and territory of birth,Tas,2016,0,5818,0
Not stated,State and territory of birth,ACT,2016,0,6457,0
Not stated,State and territory of birth,NT,2016,0,3960,0
Hospital,Country of birth (mother),Born in Australia,2017,187034,194012,96.4
Hospital,Country of birth (mother),Born overseas,2017,102982,105767,97.4
Hospital,Country of birth (mother),Not stated,2017,1036,1316,78.7
Birth centre,Country of birth (mother),Born in Australia,2017,5078,194012,2.6
Birth centre,Country of birth (mother),Born overseas,2017,2139,105767,2
Birth centre,Country of birth (mother),Not stated,2017,30,1316,2.3
Home,Country of birth (mother),Born in Australia,2017,467,194012,0.2
Home,Country of birth (mother),Born overseas,2017,115,105767,0.1
Home,Country of birth (mother),Not stated,2017,224,1316,17
Other,Country of birth (mother),Born in Australia,2017,1420,194012,0.7
Other,Country of birth (mother),Born overseas,2017,529,105767,0.5
Other,Country of birth (mother),Not stated,2017,25,1316,1.9
Not stated,Country of birth (mother),Born in Australia,2017,13,194012,0
Not stated,Country of birth (mother),Born overseas,2017,2,105767,0
Not stated,Country of birth (mother),Not stated,2017,1,1316,0.1
Hospital,Indigenous status (mother),Indigenous,2017,13015,13551,96
Hospital,Indigenous status (mother),Non-Indigenous,2017,277289,286762,96.7
Hospital,Indigenous status (mother),Not stated,2017,748,782,95.7
Birth centre,Indigenous status (mother),Indigenous,2017,338,13551,2.5
Birth centre,Indigenous status (mother),Non-Indigenous,2017,6903,286762,2.4
Birth centre,Indigenous status (mother),Not stated,2017,6,782,0.8
Home,Indigenous status (mother),Indigenous,2017,7,13551,0.1
Home,Indigenous status (mother),Non-Indigenous,2017,781,286762,0.3
Home,Indigenous status (mother),Not stated,2017,18,782,2.3
Other,Indigenous status (mother),Indigenous,2017,191,13551,1.4
Other,Indigenous status (mother),Non-Indigenous,2017,1773,286762,0.6
Other,Indigenous status (mother),Not stated,2017,10,782,1.3
Not stated,Indigenous status (mother),Indigenous,2017,0,13551,0
Not stated,Indigenous status (mother),Non-Indigenous,2017,16,286762,0
Not stated,Indigenous status (mother),Not stated,2017,0,782,0
Hospital,Maternal age,Less than 20,2017,6456,6677,96.7
Hospital,Maternal age,20-24,2017,33687,34942,96.4
Hospital,Maternal age,25-29,2017,78055,80895,96.5
Hospital,Maternal age,30-34,2017,103507,107122,96.6
Hospital,Maternal age,35-39,2017,56603,58411,96.9
Hospital,Maternal age,40 and over,2017,12722,13020,97.7
Hospital,Maternal age,Not stated,2017,22,28,0.8
Birth centre,Maternal age,Less than 20,2017,161,6677,2.4
Birth centre,Maternal age,20-24,2017,942,34942,2.7
Birth centre,Maternal age,25-29,2017,2112,80895,2.6
Birth centre,Maternal age,30-34,2017,2585,107122,2.4
Birth centre,Maternal age,35-39,2017,1253,58411,2.1
Birth centre,Maternal age,40 and over,2017,194,13020,1.5
Birth centre,Maternal age,Not stated,2017,0,28,0
Home,Maternal age,Less than 20,2017,8,6677,0.1
Home,Maternal age,20-24,2017,46,34942,0.1
Home,Maternal age,25-29,2017,192,80895,0.2
Home,Maternal age,30-34,2017,329,107122,0.3
Home,Maternal age,35-39,2017,196,58411,0.3
Home,Maternal age,40 and over,2017,31,13020,0.2
Home,Maternal age,Not stated,2017,4,28,0.1
Other,Maternal age,Less than 20,2017,52,6677,0.8
Other,Maternal age,20-24,2017,267,34942,0.8
Other,Maternal age,25-29,2017,529,80895,0.7
Other,Maternal age,30-34,2017,696,107122,0.6
Other,Maternal age,35-39,2017,355,58411,0.6
Other,Maternal age,40 and over,2017,73,13020,0.6
Other,Maternal age,Not stated,2017,2,28,0.1
Not stated,Maternal age,Less than 20,2017,0,6677,0
Not stated,Maternal age,20-24,2017,0,34942,0
Not stated,Maternal age,25-29,2017,7,80895,0
Not stated,Maternal age,30-34,2017,5,107122,0
Not stated,Maternal age,35-39,2017,4,58411,0
Not stated,Maternal age,40 and over,2017,0,13020,0
Not stated,Maternal age,Not stated,2017,0,28,0
Hospital,Parity,None,2017,124226,127344,97.6
Hospital,Parity,One,2017,101754,105775,96.2
Hospital,Parity,Two,2017,40655,42415,95.9
Hospital,Parity,Three,2017,13992,14624,95.7
Hospital,Parity,Four or more,2017,9619,10091,95.3
Hospital,Parity,Not stated,2017,806,846,95.3
Birth centre,Parity,None,2017,2627,127344,2.1
Birth centre,Parity,One,2017,2806,105775,2.7
Birth centre,Parity,Two,2017,1219,42415,2.9
Birth centre,Parity,Three,2017,359,14624,2.5
Birth centre,Parity,Four or more,2017,221,10091,2.2
Birth centre,Parity,Not stated,2017,15,846,1.8
Home,Parity,None,2017,203,127344,0.2
Home,Parity,One,2017,328,105775,0.3
Home,Parity,Two,2017,170,42415,0.4
Home,Parity,Three,2017,63,14624,0.4
Home,Parity,Four or more,2017,34,10091,0.3
Home,Parity,Not stated,2017,8,846,0.9
Other,Parity,None,2017,288,127344,0.2
Other,Parity,One,2017,877,105775,0.8
Other,Parity,Two,2017,367,42415,0.9
Other,Parity,Three,2017,208,14624,1.4
Other,Parity,Four or more,2017,217,10091,2.2
Other,Parity,Not stated,2017,17,846,2
Not stated,Parity,None,2017,0,127344,0
Not stated,Parity,One,2017,10,105775,0
Not stated,Parity,Two,2017,4,42415,0
Not stated,Parity,Three,2017,2,14624,0
Not stated,Parity,Four or more,2017,0,10091,0
Not stated,Parity,Not stated,2017,0,846,0
Hospital,Remoteness area,Major cities,2017,209546,216928,96.6
Hospital,Remoteness area,Inner regional,2017,46499,47921,97
Hospital,Remoteness area,Outer regional,2017,23449,24349,96.3
Hospital,Remoteness area,Remote,2017,4575,4663,98.1
Hospital,Remoteness area,Very remote,2017,2853,2910,98.1
Birth centre,Remoteness area,Major cities,2017,5550,216928,2.6
Birth centre,Remoteness area,Inner regional,2017,882,47921,1.8
Birth centre,Remoteness area,Outer regional,2017,639,24349,2.6
Birth centre,Remoteness area,Remote,2017,42,4663,0.9
Birth centre,Remoteness area,Very remote,2017,13,2910,0.4
Home,Remoteness area,Major cities,2017,529,216928,0.2
Home,Remoteness area,Inner regional,2017,163,47921,0.3
Home,Remoteness area,Outer regional,2017,65,24349,0.3
Home,Remoteness area,Remote,2017,13,4663,0.3
Home,Remoteness area,Very remote,2017,0,2910,0
Other,Remoteness area,Major cities,2017,1303,216928,0.6
Other,Remoteness area,Inner regional,2017,362,47921,0.8
Other,Remoteness area,Outer regional,2017,196,24349,0.8
Other,Remoteness area,Remote,2017,33,4663,0.7
Other,Remoteness area,Very remote,2017,43,2910,1.5
Not stated,Remoteness area,Major cities,2017,1,216928,0
Not stated,Remoteness area,Inner regional,2017,14,47921,0
Not stated,Remoteness area,Outer regional,2017,1,24349,0
Not stated,Remoteness area,Remote,2017,0,4663,0
Not stated,Remoteness area,Very remote,2017,0,2910,0
Hospital,Socioeconomic status,Q1 (most disadvantaged),2017,58325,60265,96.8
Hospital,Socioeconomic status,Q2,2017,55032,57016,96.5
Hospital,Socioeconomic status,Q3,2017,63037,65258,96.6
Hospital,Socioeconomic status,Q4,2017,58594,60488,96.9
Hospital,Socioeconomic status,Q5 (least disadvantaged),2017,51654,53460,96.6
Hospital,Socioeconomic status,Not stated,2017,3325,3488,95.3
Birth centre,Socioeconomic status,Q1 (most disadvantaged),2017,1326,60265,2.2
Birth centre,Socioeconomic status,Q2,2017,1426,57016,2.5
Birth centre,Socioeconomic status,Q3,2017,1590,65258,2.4
