babies_term,topic,topic_disaggregation,year,count,year_total,percent_total
Pre-term,State and territory of birth,Qld,2012,5906,63709,9.3
Pre-term,State and territory of birth,WA,2012,3027,33862,8.9
Pre-term,State and territory of birth,SA,2012,1950,20666,9.4
Pre-term,State and territory of birth,Tas,2012,617,5940,10.4
Pre-term,State and territory of birth,ACT,2012,569,6144,9.3
Pre-term,State and territory of birth,NT,2012,393,4030,9.8
Term,State and territory of birth,NSW,2012,91374,99507,91.8
Term,State and territory of birth,Vic,2012,71119,78393,90.7
Term,State and territory of birth,Qld,2012,57463,63709,90.2
Term,State and territory of birth,WA,2012,30702,33862,90.7
Term,State and territory of birth,SA,2012,18656,20666,90.3
Term,State and territory of birth,Tas,2012,5297,5940,89.2
Term,State and territory of birth,ACT,2012,5524,6144,89.9
Term,State and territory of birth,NT,2012,3612,4030,89.6
Post-term,State and territory of birth,NSW,2012,568,99507,0.6
Post-term,State and territory of birth,Vic,2012,691,78393,0.9
Post-term,State and territory of birth,Qld,2012,338,63709,0.5
Post-term,State and territory of birth,WA,2012,133,33862,0.4
Post-term,State and territory of birth,SA,2012,60,20666,0.3
Post-term,State and territory of birth,Tas,2012,26,5940,0.4
Post-term,State and territory of birth,ACT,2012,51,6144,0.8
Post-term,State and territory of birth,NT,2012,25,4030,0.6
Not stated,State and territory of birth,NSW,2012,30,99507,0
Not stated,State and territory of birth,Vic,2012,50,78393,0.1
Not stated,State and territory of birth,Qld,2012,2,63709,0
Not stated,State and territory of birth,WA,2012,0,33862,0
Not stated,State and territory of birth,SA,2012,0,20666,0
Not stated,State and territory of birth,Tas,2012,0,5940,0
Not stated,State and territory of birth,ACT,2012,0,6144,0
Not stated,State and territory of birth,NT,2012,0,4030,0
Pre-term,Admission to SCN/NICU,Admitted,2013,11348,28861,39.3
Pre-term,Admission to SCN/NICU,Not admitted,2013,2995,141347,2.1
Pre-term,Admission to SCN/NICU,Not stated,2013,23,2475,0.9
Term,Admission to SCN/NICU,Admitted,2013,17366,28861,60.2
Term,Admission to SCN/NICU,Not admitted,2013,137469,141347,97.3
Term,Admission to SCN/NICU,Not stated,2013,2443,2475,98.7
Post-term,Admission to SCN/NICU,Admitted,2013,132,28861,0.5
Post-term,Admission to SCN/NICU,Not admitted,2013,873,141347,0.6
Post-term,Admission to SCN/NICU,Not stated,2013,9,2475,0.4
Not stated,Admission to SCN/NICU,Admitted,2013,15,28861,0.1
Not stated,Admission to SCN/NICU,Not admitted,2013,10,141347,0
Not stated,Admission to SCN/NICU,Not stated,2013,0,2475,0
Pre-term,Birth status,Live birth,2013,24643,307277,8
Pre-term,Birth status,Stillbirth,2013,1850,2191,84.4
Pre-term,Birth status,Not stated,2013,4,21,19.0
Term,Birth status,Live birth,2013,280965,307277,91.4
Term,Birth status,Stillbirth,2013,328,2191,15
Term,Birth status,Not stated,2013,17,21,81.0
Post-term,Birth status,Live birth,2013,1603,307277,0.5
Post-term,Birth status,Stillbirth,2013,5,2191,0.2
Post-term,Birth status,Not stated,2013,0,21,0
Not stated,Birth status,Live birth,2013,66,307277,0
Not stated,Birth status,Stillbirth,2013,8,2191,0.4
Not stated,Birth status,Not stated,2013,0,21,0
Pre-term,Birthweight,Low birthweight,2013,15691,21369,73.4
Pre-term,Birthweight,Normal birthweight,2013,10698,283115,3.8
Pre-term,Birthweight,High birthweight,2013,24,4799,0.5
Pre-term,Birthweight,Not stated,2013,84,206,40.8
Term,Birthweight,Low birthweight,2013,5637,21369,26.4
Term,Birthweight,Normal birthweight,2013,270870,283115,95.7
Term,Birthweight,High birthweight,2013,4685,4799,97.6
Term,Birthweight,Not stated,2013,118,206,57.3
Post-term,Birthweight,Low birthweight,2013,6,21369,0
Post-term,Birthweight,Normal birthweight,2013,1511,283115,0.5
Post-term,Birthweight,High birthweight,2013,89,4799,1.9
Post-term,Birthweight,Not stated,2013,2,206,1
Not stated,Birthweight,Low birthweight,2013,35,21369,0.2
Not stated,Birthweight,Normal birthweight,2013,36,283115,0
Not stated,Birthweight,High birthweight,2013,1,4799,0
Not stated,Birthweight,Not stated,2013,2,206,1
Pre-term,Body mass index,Underweight,2013,754,7234,10.4
Pre-term,Body mass index,Normal weight,2013,7614,95198,8
Pre-term,Body mass index,Overweight,2013,4125,50402,8.2
Pre-term,Body mass index,Obese,2013,3624,39053,9.3
Pre-term,Body mass index,Not stated,2013,2565,16573,15.5
Term,Body mass index,Underweight,2013,6461,7234,89.3
Term,Body mass index,Normal weight,2013,87019,95198,91.4
Term,Body mass index,Overweight,2013,45992,50402,91.3
Term,Body mass index,Obese,2013,35231,39053,90.2
Term,Body mass index,Not stated,2013,13926,16573,84
Post-term,Body mass index,Underweight,2013,19,7234,0.3
Post-term,Body mass index,Normal weight,2013,552,95198,0.6
Post-term,Body mass index,Overweight,2013,281,50402,0.6
Post-term,Body mass index,Obese,2013,196,39053,0.5
Post-term,Body mass index,Not stated,2013,73,16573,0.4
Not stated,Body mass index,Underweight,2013,0,7234,0
Not stated,Body mass index,Normal weight,2013,13,95198,0
Not stated,Body mass index,Overweight,2013,4,50402,0
Not stated,Body mass index,Obese,2013,2,39053,0
Not stated,Body mass index,Not stated,2013,9,16573,0.1
Pre-term,Country of birth (mother),Born in Australia,2013,19066,211905,9
Pre-term,Country of birth (mother),Born overseas,2013,7297,95891,7.6
Pre-term,Country of birth (mother),Not stated,2013,134,1693,7.9
Term,Country of birth (mother),Born in Australia,2013,191646,211905,90.4
Term,Country of birth (mother),Born overseas,2013,88131,95891,91.9
Term,Country of birth (mother),Not stated,2013,1533,1693,90.5
Post-term,Country of birth (mother),Born in Australia,2013,1132,211905,0.5
Post-term,Country of birth (mother),Born overseas,2013,450,95891,0.5
Post-term,Country of birth (mother),Not stated,2013,26,1693,1.5
Not stated,Country of birth (mother),Born in Australia,2013,61,211905,0
Not stated,Country of birth (mother),Born overseas,2013,13,95891,0
Not stated,Country of birth (mother),Not stated,2013,0,1693,0
Pre-term,Hospital sector,Public,2013,19848,216414,9.2
Pre-term,Hospital sector,Private,2013,6445,84901,7.6
Pre-term,Hospital sector,Not stated,2013,0,0,0
Term,Hospital sector,Public,2013,195218,216414,90.2
Term,Hospital sector,Private,2013,78191,84901,92.1
Term,Hospital sector,Not stated,2013,0,0,0
Post-term,Hospital sector,Public,2013,1313,216414,0.6
Post-term,Hospital sector,Private,2013,226,84901,0.3
Post-term,Hospital sector,Not stated,2013,0,0,0
Not stated,Hospital sector,Public,2013,35,216414,0
Not stated,Hospital sector,Private,2013,39,84901,0
Not stated,Hospital sector,Not stated,2013,0,0,0
Pre-term,Indigenous status (mother),Indigenous,2013,1810,12541,14.4
Pre-term,Indigenous status (mother),Non-Indigenous,2013,24594,296238,8.3
Pre-term,Indigenous status (mother),Not stated,2013,93,710,13.1
Term,Indigenous status (mother),Indigenous,2013,10687,12541,85.2
Term,Indigenous status (mother),Non-Indigenous,2013,270012,296238,91.1
Term,Indigenous status (mother),Not stated,2013,611,710,86.1
Post-term,Indigenous status (mother),Indigenous,2013,42,12541,0.3
Post-term,Indigenous status (mother),Non-Indigenous,2013,1560,296238,0.5
Post-term,Indigenous status (mother),Not stated,2013,6,710,0.8
Not stated,Indigenous status (mother),Indigenous,2013,2,12541,0
Not stated,Indigenous status (mother),Non-Indigenous,2013,72,296238,0
Not stated,Indigenous status (mother),Not stated,2013,0,710,0
Pre-term,Indigenous status (baby),Indigenous,2013,2104,16149,13
Pre-term,Indigenous status (baby),Non-Indigenous,2013,23916,292242,8.2
Pre-term,Indigenous status (baby),Not stated,2013,477,1098,43.4
Term,Indigenous status (baby),Indigenous,2013,13981,16149,86.6
Term,Indigenous status (baby),Non-Indigenous,2013,266717,292242,91.3
Term,Indigenous status (baby),Not stated,2013,612,1098,55.7
Post-term,Indigenous status (baby),Indigenous,2013,62,16149,0.4
Post-term,Indigenous status (baby),Non-Indigenous,2013,1542,292242,0.5
Post-term,Indigenous status (baby),Not stated,2013,4,1098,0.4
Not stated,Indigenous status (baby),Indigenous,2013,2,16149,0
Not stated,Indigenous status (baby),Non-Indigenous,2013,67,292242,0
Not stated,Indigenous status (baby),Not stated,2013,5,1098,0.5
Pre-term,Maternal age,Less than 20,2013,1006,10263,9.8
Pre-term,Maternal age,20-24,2013,3651,41621,8.8
Pre-term,Maternal age,25-29,2013,6679,85051,7.9
Pre-term,Maternal age,30-34,2013,8423,103242,8.2
Pre-term,Maternal age,35-39,2013,5089,55512,9.2
Pre-term,Maternal age,40 and over,2013,1645,13738,12
Pre-term,Maternal age,Not stated,2013,4,62,6.5
Term,Maternal age,Less than 20,2013,9207,10263,89.7
Term,Maternal age,20-24,2013,37756,41621,90.7
Term,Maternal age,25-29,2013,77927,85051,91.6
Term,Maternal age,30-34,2013,94211,103242,91.3
Term,Maternal age,35-39,2013,50118,55512,90.3
Term,Maternal age,40 and over,2013,12033,13738,87.6
Term,Maternal age,Not stated,2013,58,62,93.5
Post-term,Maternal age,Less than 20,2013,50,10263,0.5
Post-term,Maternal age,20-24,2013,210,41621,0.5
Post-term,Maternal age,25-29,2013,437,85051,0.5
Post-term,Maternal age,30-34,2013,583,103242,0.6
Post-term,Maternal age,35-39,2013,271,55512,0.5
Post-term,Maternal age,40 and over,2013,57,13738,0.4
Post-term,Maternal age,Not stated,2013,0,62,0
Not stated,Maternal age,Less than 20,2013,0,10263,0
Not stated,Maternal age,20-24,2013,4,41621,0
Not stated,Maternal age,25-29,2013,8,85051,0
Not stated,Maternal age,30-34,2013,25,103242,0
Not stated,Maternal age,35-39,2013,34,55512,0.1
Not stated,Maternal age,40 and over,2013,3,13738,0
Not stated,Maternal age,Not stated,2013,0,62,0
Pre-term,Method of birth,Vaginal (non-instrumental),2013,11733,168157,7
Pre-term,Method of birth,Vaginal (forceps),2013,955,14561,6.6
Pre-term,Method of birth,Vaginal (vacuum),2013,851,23519,3.6
Pre-term,Method of birth,Caesarean section,2013,12942,103191,12.5
Pre-term,Method of birth,Not stated,2013,16,61,26.2
Term,Method of birth,Vaginal (non-instrumental),2013,155606,168157,92.5
Term,Method of birth,Vaginal (forceps),2013,13471,14561,92.5
Term,Method of birth,Vaginal (vacuum),2013,22502,23519,95.7
Term,Method of birth,Caesarean section,2013,89686,103191,86.9
Term,Method of birth,Not stated,2013,45,61,73.8
Post-term,Method of birth,Vaginal (non-instrumental),2013,802,168157,0.5
Post-term,Method of birth,Vaginal (forceps),2013,132,14561,0.9
Post-term,Method of birth,Vaginal (vacuum),2013,163,23519,0.7
Post-term,Method of birth,Caesarean section,2013,511,103191,0.5
Post-term,Method of birth,Not stated,2013,0,61,0
Not stated,Method of birth,Vaginal (non-instrumental),2013,16,168157,0
Not stated,Method of birth,Vaginal (forceps),2013,3,14561,0
Not stated,Method of birth,Vaginal (vacuum),2013,3,23519,0
Not stated,Method of birth,Caesarean section,2013,52,103191,0.1
Not stated,Method of birth,Not stated,2013,0,61,0
Pre-term,Onset of labour,Spontaneous,2013,12315,161840,7.6
Pre-term,Onset of labour,Induced,2013,5477,85079,6.4
Pre-term,Onset of labour,No labour,2013,8689,62501,13.9
Pre-term,Onset of labour,Not stated,2013,16,69,23.2
Term,Onset of labour,Spontaneous,2013,148981,161840,92.1
Term,Onset of labour,Induced,2013,78599,85079,92.4
Term,Onset of labour,No labour,2013,53677,62501,85.9
Term,Onset of labour,Not stated,2013,53,69,76.8
Post-term,Onset of labour,Spontaneous,2013,522,161840,0.3
Post-term,Onset of labour,Induced,2013,994,85079,1.2
Post-term,Onset of labour,No labour,2013,92,62501,0.1
Post-term,Onset of labour,Not stated,2013,0,69,0
Not stated,Onset of labour,Spontaneous,2013,22,161840,0
Not stated,Onset of labour,Induced,2013,9,85079,0
Not stated,Onset of labour,No labour,2013,43,62501,0.1
Not stated,Onset of labour,Not stated,2013,0,69,0
Pre-term,Plurality,Singleton,2013,20568,300148,6.9
Pre-term,Plurality,Twins,2013,5680,9092,62.5
Pre-term,Plurality,Other multiples,2013,249,249,100
Pre-term,Plurality,Not stated,2013,0,0,0
Term,Plurality,Singleton,2013,277960,300148,92.6
Term,Plurality,Twins,2013,3350,9092,36.8
Term,Plurality,Other multiples,2013,0,249,0
Term,Plurality,Not stated,2013,0,0,0
Post-term,Plurality,Singleton,2013,1608,300148,0.5
Post-term,Plurality,Twins,2013,0,9092,0
Post-term,Plurality,Other multiples,2013,0,249,0
Post-term,Plurality,Not stated,2013,0,0,0
Not stated,Plurality,Singleton,2013,12,300148,0
Not stated,Plurality,Twins,2013,62,9092,0.7
Not stated,Plurality,Other multiples,2013,0,249,0
Not stated,Plurality,Not stated,2013,0,0,0
Pre-term,Remoteness area,Major cities,2013,18313,219681,8.3
Pre-term,Remoteness area,Inner regional,2013,4542,50937,8.9
Pre-term,Remoteness area,Outer regional,2013,2465,26922,9.2
Pre-term,Remoteness area,Remote,2013,416,4600,9.1
Pre-term,Remoteness area,Very remote,2013,410,3071,13.3
Term,Remoteness area,Major cities,2013,200221,219681,91.1
Term,Remoteness area,Inner regional,2013,46068,50937,90.4
Term,Remoteness area,Outer regional,2013,24308,26922,90.3
Term,Remoteness area,Remote,2013,4162,4600,90.5
Term,Remoteness area,Very remote,2013,2645,3071,86.1
Post-term,Remoteness area,Major cities,2013,1082,219681,0.5
Post-term,Remoteness area,Inner regional,2013,321,50937,0.6
Post-term,Remoteness area,Outer regional,2013,145,26922,0.5
Post-term,Remoteness area,Remote,2013,21,4600,0.5
Post-term,Remoteness area,Very remote,2013,17,3071,0.5
Not stated,Remoteness area,Major cities,2013,66,219681,0
Not stated,Remoteness area,Inner regional,2013,5,50937,0
Not stated,Remoteness area,Outer regional,2013,3,26922,0
Not stated,Remoteness area,Remote,2013,0,4600,0
Not stated,Remoteness area,Very remote,2013,0,3071,0
Pre-term,Sex,Male,2013,14180,159172,8.9
Pre-term,Sex,Female,2013,12203,150166,8.1
Pre-term,Sex,Indeterminate/Not stated,2013,114,151,75.5
Term,Sex,Male,2013,144104,159172,90.5
Term,Sex,Female,2013,137171,150166,91.3
Term,Sex,Indeterminate/Not stated,2013,35,151,23.2
Post-term,Sex,Male,2013,849,159172,0.5
Post-term,Sex,Female,2013,759,150166,0.5
Post-term,Sex,Indeterminate/Not stated,2013,0,151,0
Not stated,Sex,Male,2013,39,159172,0
Not stated,Sex,Female,2013,33,150166,0
Not stated,Sex,Indeterminate/Not stated,2013,2,151,1.3
Pre-term,Smoking status (any time during pregnancy),Smoked,2013,4408,35446,12.4
Pre-term,Smoking status (any time during pregnancy),Did not smoke,2013,21331,268660,7.9
Pre-term,Smoking status (any time during pregnancy),Not stated,2013,758,5383,14.1
Term,Smoking status (any time during pregnancy),Smoked,2013,30880,35446,87.1
Term,Smoking status (any time during pregnancy),Did not smoke,2013,245833,268660,91.5
Term,Smoking status (any time during pregnancy),Not stated,2013,4597,5383,85.4
Post-term,Smoking status (any time during pregnancy),Smoked,2013,154,35446,0.4
Post-term,Smoking status (any time during pregnancy),Did not smoke,2013,1432,268660,0.5
Post-term,Smoking status (any time during pregnancy),Not stated,2013,22,5383,0.4
Not stated,Smoking status (any time during pregnancy),Smoked,2013,4,35446,0
Not stated,Smoking status (any time during pregnancy),Did not smoke,2013,64,268660,0
Not stated,Smoking status (any time during pregnancy),Not stated,2013,6,5383,0.1
Pre-term,Socioeconomic status,Q1 (most disadvantaged),2013,6169,64780,9.5
Pre-term,Socioeconomic status,Q2,2013,5228,60813,8.6
Pre-term,Socioeconomic status,Q3,2013,5231,61307,8.5
Pre-term,Socioeconomic status,Q4,2013,5087,61466,8.3
Pre-term,Socioeconomic status,Q5 (least disadvantaged),2013,4427,56797,7.8
Pre-term,Socioeconomic status,Not stated,2013,279,3672,7.6
Term,Socioeconomic status,Q1 (most disadvantaged),2013,58261,64780,89.9
Term,Socioeconomic status,Q2,2013,55252,60813,90.9
Term,Socioeconomic status,Q3,2013,55732,61307,90.9
Term,Socioeconomic status,Q4,2013,56035,61466,91.2
Term,Socioeconomic status,Q5 (least disadvantaged),2013,52081,56797,91.7
Term,Socioeconomic status,Not stated,2013,3374,3672,91.9
Post-term,Socioeconomic status,Q1 (most disadvantaged),2013,338,64780,0.5
Post-term,Socioeconomic status,Q2,2013,323,60813,0.5
Post-term,Socioeconomic status,Q3,2013,327,61307,0.5
Post-term,Socioeconomic status,Q4,2013,322,61466,0.5
Post-term,Socioeconomic status,Q5 (least disadvantaged),2013,276,56797,0.5
Post-term,Socioeconomic status,Not stated,2013,19,3672,0.5
Not stated,Socioeconomic status,Q1 (most disadvantaged),2013,12,64780,0
Not stated,Socioeconomic status,Q2,2013,10,60813,0
Not stated,Socioeconomic status,Q3,2013,17,61307,0
Not stated,Socioeconomic status,Q4,2013,22,61466,0
Not stated,Socioeconomic status,Q5 (least disadvantaged),2013,13,56797,0
Not stated,Socioeconomic status,Not stated,2013,0,3672,0
Pre-term,State and territory of birth,NSW,2013,7389,96968,7.6
Pre-term,State and territory of birth,Vic,2013,6731,78351,8.6
Pre-term,State and territory of birth,Qld,2013,5654,63157,9
Pre-term,State and territory of birth,WA,2013,3141,34404,9.1
Pre-term,State and territory of birth,SA,2013,1985,20263,9.8
Pre-term,State and territory of birth,Tas,2013,587,6021,9.7
Pre-term,State and territory of birth,ACT,2013,584,6264,9.3
Pre-term,State and territory of birth,NT,2013,426,4061,10.5
Term,State and territory of birth,NSW,2013,89067,96968,91.9
Term,State and territory of birth,Vic,2013,70997,78351,90.6
Term,State and territory of birth,Qld,2013,57213,63157,90.6
Term,State and territory of birth,WA,2013,31159,34404,90.6
Term,State and territory of birth,SA,2013,18221,20263,89.9
Term,State and territory of birth,Tas,2013,5406,6021,89.8
Term,State and territory of birth,ACT,2013,5633,6264,89.9
Term,State and territory of birth,NT,2013,3614,4061,89
Post-term,State and territory of birth,NSW,2013,466,96968,0.5
Post-term,State and territory of birth,Vic,2013,596,78351,0.8
Post-term,State and territory of birth,Qld,2013,290,63157,0.5
Post-term,State and territory of birth,WA,2013,104,34404,0.3
Post-term,State and territory of birth,SA,2013,56,20263,0.3
Post-term,State and territory of birth,Tas,2013,28,6021,0.5
Post-term,State and territory of birth,ACT,2013,47,6264,0.8
Post-term,State and territory of birth,NT,2013,21,4061,0.5
Not stated,State and territory of birth,NSW,2013,46,96968,0
Not stated,State and territory of birth,Vic,2013,27,78351,0
Not stated,State and territory of birth,Qld,2013,0,63157,0
Not stated,State and territory of birth,WA,2013,0,34404,0
Not stated,State and territory of birth,SA,2013,1,20263,0
Not stated,State and territory of birth,Tas,2013,0,6021,0
Not stated,State and territory of birth,ACT,2013,0,6264,0
Not stated,State and territory of birth,NT,2013,0,4061,0
Pre-term,Admission to SCN/NICU,Admitted,2014,11608,28701,40.4
Pre-term,Admission to SCN/NICU,Not admitted,2014,3002,143292,2.1
Pre-term,Admission to SCN/NICU,Not stated,2014,37,2668,1.4
Term,Admission to SCN/NICU,Admitted,2014,16967,28701,59.1
Term,Admission to SCN/NICU,Not admitted,2014,139337,143292,97.2
Term,Admission to SCN/NICU,Not stated,2014,2603,2668,97.6
Post-term,Admission to SCN/NICU,Admitted,2014,114,28701,0.4
Post-term,Admission to SCN/NICU,Not admitted,2014,835,143292,0.6
Post-term,Admission to SCN/NICU,Not stated,2014,14,2668,0.5
Not stated,Admission to SCN/NICU,Admitted,2014,12,28701,0
Not stated,Admission to SCN/NICU,Not admitted,2014,118,143292,0.1
Not stated,Admission to SCN/NICU,Not stated,2014,14,2668,0.5
Pre-term,Birth status,Live birth,2014,25011,310330,8.1
Pre-term,Birth status,Stillbirth,2014,1823,2200,82.9
Pre-term,Birth status,Not stated,2014,1,18,5.6
Term,Birth status,Live birth,2014,283640,310330,91.4
Term,Birth status,Stillbirth,2014,332,2200,15.1
Term,Birth status,Not stated,2014,13,18,72.2
Post-term,Birth status,Not stated,2014,0,18,0
Not stated,Birth status,Not stated,2014,4,18,22.2
Pre-term,Birthweight,Low birthweight,2014,15806,21585,73.2
Pre-term,Birthweight,Normal birthweight,2014,10971,286180,3.8
Pre-term,Birthweight,High birthweight,2014,31,4592,0.7
Pre-term,Birthweight,Not stated,2014,27,191,14.1
Term,Birthweight,Low birthweight,2014,5766,21585,26.7
Term,Birthweight,Normal birthweight,2014,273653,286180,95.6
Term,Birthweight,High birthweight,2014,4466,4592,97.3
Term,Birthweight,Not stated,2014,100,191,52.4
Post-term,Birthweight,Normal birthweight,2014,1406,286180,0.5
Post-term,Birthweight,Not stated,2014,0,191,0
Not stated,Birthweight,Normal birthweight,2014,150,286180,0.1
Not stated,Birthweight,Not stated,2014,64,191,33.5
Pre-term,Body mass index,Underweight,2014,829,7990,10.4
Pre-term,Body mass index,Normal weight,2014,8089,99539,8.1
Pre-term,Body mass index,Overweight,2014,4196,51205,8.2
Pre-term,Body mass index,Obese,2014,3844,39945,9.6
Pre-term,Body mass index,Not stated,2014,2032,12575,16.2
Term,Body mass index,Underweight,2014,7136,7990,89.3
Term,Body mass index,Normal weight,2014,90834,99539,91.3
Term,Body mass index,Overweight,2014,46698,51205,91.2
Term,Body mass index,Obese,2014,35880,39945,89.8
Term,Body mass index,Not stated,2014,10476,12575,83.3
Post-term,Body mass index,Underweight,2014,22,7990,0.3
Post-term,Body mass index,Normal weight,2014,538,99539,0.5
Post-term,Body mass index,Overweight,2014,267,51205,0.5
Post-term,Body mass index,Obese,2014,208,39945,0.5
Post-term,Body mass index,Not stated,2014,58,12575,0.5
Not stated,Body mass index,Underweight,2014,3,7990,0
Not stated,Body mass index,Normal weight,2014,78,99539,0.1
Not stated,Body mass index,Overweight,2014,44,51205,0.1
Not stated,Body mass index,Obese,2014,13,39945,0
Not stated,Body mass index,Not stated,2014,9,12575,0.1
Pre-term,Country of birth (mother),Born in Australia,2014,18847,209188,9
Pre-term,Country of birth (mother),Born overseas,2014,7853,101644,7.7
Pre-term,Country of birth (mother),Not stated,2014,135,1716,7.9
Term,Country of birth (mother),Born in Australia,2014,189167,209188,90.4
Term,Country of birth (mother),Born overseas,2014,93254,101644,91.7
Term,Country of birth (mother),Not stated,2014,1564,1716,91.1
Post-term,Country of birth (mother),Born in Australia,2014,1012,209188,0.5
Post-term,Country of birth (mother),Born overseas,2014,476,101644,0.5
Post-term,Country of birth (mother),Not stated,2014,13,1716,0.8
Not stated,Country of birth (mother),Born in Australia,2014,162,209188,0.1
Not stated,Country of birth (mother),Born overseas,2014,61,101644,0.1
Not stated,Country of birth (mother),Not stated,2014,4,1716,0.2
Pre-term,Hospital sector,Public,2014,20325,221273,9.2
Pre-term,Hospital sector,Private,2014,6316,83704,7.5
Pre-term,Hospital sector,Not stated,2014,0,0,0
Term,Hospital sector,Public,2014,199672,221273,90.2
Term,Hospital sector,Private,2014,77016,83704,92
Term,Hospital sector,Not stated,2014,0,0,0
Post-term,Hospital sector,Public,2014,1215,221273,0.5
Post-term,Hospital sector,Private,2014,214,83704,0.3
Post-term,Hospital sector,Not stated,2014,0,0,0
Not stated,Hospital sector,Public,2014,61,221273,0
Not stated,Hospital sector,Private,2014,158,83704,0.2
Not stated,Hospital sector,Not stated,2014,0,0,0
Pre-term,Indigenous status (mother),Indigenous,2014,1782,12978,13.7
Pre-term,Indigenous status (mother),Non-Indigenous,2014,24979,299052,8.4
Pre-term,Indigenous status (mother),Not stated,2014,74,518,14.3
Term,Indigenous status (mother),Indigenous,2014,11149,12978,85.9
Term,Indigenous status (mother),Non-Indigenous,2014,272405,299052,91.1
Term,Indigenous status (mother),Not stated,2014,431,518,83.2
Post-term,Indigenous status (mother),Indigenous,2014,40,12978,0.3
Post-term,Indigenous status (mother),Non-Indigenous,2014,1452,299052,0.5
Post-term,Indigenous status (mother),Not stated,2014,9,518,1.7
Not stated,Indigenous status (mother),Indigenous,2014,7,12978,0.1
Not stated,Indigenous status (mother),Non-Indigenous,2014,216,299052,0.1
Not stated,Indigenous status (mother),Not stated,2014,4,518,0.8
Pre-term,Indigenous status (baby),Indigenous,2014,2082,16572,12.6
Pre-term,Indigenous status (baby),Non-Indigenous,2014,24322,295033,8.2
Pre-term,Indigenous status (baby),Not stated,2014,431,943,45.7
Term,Indigenous status (baby),Indigenous,2014,14428,16572,87.1
Term,Indigenous status (baby),Non-Indigenous,2014,269062,295033,91.2
Term,Indigenous status (baby),Not stated,2014,495,943,52.5
Post-term,Indigenous status (baby),Indigenous,2014,56,16572,0.3
Post-term,Indigenous status (baby),Non-Indigenous,2014,1438,295033,0.5
Post-term,Indigenous status (baby),Not stated,2014,7,943,0.7
Not stated,Indigenous status (baby),Indigenous,2014,6,16572,0
Not stated,Indigenous status (baby),Non-Indigenous,2014,211,295033,0.1
Not stated,Indigenous status (baby),Not stated,2014,10,943,1.1
Pre-term,Maternal age,Less than 20,2014,1017,9397,10.8
Pre-term,Maternal age,20-24,2014,3446,40330,8.5
Pre-term,Maternal age,25-29,2014,6918,86401,8
Pre-term,Maternal age,30-34,2014,8612,106991,8
Pre-term,Maternal age,35-39,2014,5196,55927,9.3
Pre-term,Maternal age,40 and over,2014,1646,13482,12.2
Pre-term,Maternal age,Not stated,2014,0,20,0
Term,Maternal age,Less than 20,2014,8345,9397,88.8
Term,Maternal age,20-24,2014,36688,40330,91
Term,Maternal age,25-29,2014,79001,86401,91.4
Term,Maternal age,30-34,2014,97773,106991,91.4
Term,Maternal age,35-39,2014,50399,55927,90.1
Term,Maternal age,40 and over,2014,11759,13482,87.2
Term,Maternal age,Not stated,2014,20,20,100
Post-term,Maternal age,Less than 20,2014,30,9397,0.3
Post-term,Maternal age,20-24,2014,180,40330,0.4
Post-term,Maternal age,25-29,2014,441,86401,0.5
Post-term,Maternal age,30-34,2014,516,106991,0.5
Post-term,Maternal age,35-39,2014,275,55927,0.5
Post-term,Maternal age,40 and over,2014,59,13482,0.4
Post-term,Maternal age,Not stated,2014,0,20,0
Not stated,Maternal age,Less than 20,2014,5,9397,0.1
Not stated,Maternal age,20-24,2014,16,40330,0
Not stated,Maternal age,25-29,2014,41,86401,0
Not stated,Maternal age,30-34,2014,90,106991,0.1
Not stated,Maternal age,35-39,2014,57,55927,0.1
Not stated,Maternal age,40 and over,2014,18,13482,0.1
Not stated,Maternal age,Not stated,2014,0,20,0
Pre-term,Method of birth,Vaginal (non-instrumental),2014,11847,168680,7
Pre-term,Method of birth,Vaginal (forceps),2014,1018,15683,6.5
Pre-term,Method of birth,Vaginal (vacuum),2014,813,23009,3.5
Pre-term,Method of birth,Caesarean section,2014,13149,105154,12.5
Pre-term,Method of birth,Not stated,2014,8,22,36.4
Term,Method of birth,Vaginal (non-instrumental),2014,155936,168680,92.4
Term,Method of birth,Vaginal (forceps),2014,14542,15683,92.7
Term,Method of birth,Vaginal (vacuum),2014,22063,23009,95.9
Term,Method of birth,Caesarean section,2014,91431,105154,86.9
Term,Method of birth,Not stated,2014,13,22,59.1
Post-term,Method of birth,Vaginal (non-instrumental),2014,775,168680,0.5
Post-term,Method of birth,Vaginal (forceps),2014,116,15683,0.7
Post-term,Method of birth,Vaginal (vacuum),2014,121,23009,0.5
Post-term,Method of birth,Caesarean section,2014,489,105154,0.5
Post-term,Method of birth,Not stated,2014,0,22,0
Not stated,Method of birth,Vaginal (non-instrumental),2014,122,168680,0.1
Not stated,Method of birth,Vaginal (forceps),2014,7,15683,0
Not stated,Method of birth,Vaginal (vacuum),2014,12,23009,0.1
Not stated,Method of birth,Caesarean section,2014,85,105154,0.1
Not stated,Method of birth,Not stated,2014,1,22,4.5
Pre-term,Onset of labour,Spontaneous,2014,11952,159039,7.5
Pre-term,Onset of labour,Induced,2014,5633,88425,6.4
Pre-term,Onset of labour,No labour,2014,9235,65033,14.2
Pre-term,Onset of labour,Not stated,2014,15,51,29.4
Term,Onset of labour,Spontaneous,2014,146501,159039,92.1
Term,Onset of labour,Induced,2014,81812,88425,92.5
